Eastern_Africa;1;5.68;6.02;6.92;4.16;2.95;3.11
Northern_Africa;2;2.98;2.82;2.49;2.45;2.38;2.27
Middle_Africa;3;1.79;1.97;1.27;0.97;0.5;1.17
Southern_Africa;4;1.93;1.91;1.86;1.58;2.04;1.7
Western_Africa;5;3.58;4.1;3.02;2.5;2.75;3.19
Caribbean;6;1.96;2.03;1.61;3.55;4.22;3.8
Central_America;7;2.65;2.04;3.79;2.46;1.76;1.27
Northern_America;8;1.04;0.87;0.56;0.44;0.46;0.56
South_America;9;1.28;1.39;1.53;1.34;1.15;1.12
Central_Asia;10;2.85;3.63;3.78;4.47;4.21;4.66
Eastern_Asia;11;3.08;3.84;4.78;6.74;6.44;6.5
Southern_Asia;12;6.43;5.92;7.15;5.92;6.76;5.78
South-eastern_Asia;13;3.28;3.21;2.82;3.93;3.93;3.82
Western_Asia;14;1.71;1.98;1.62;1.37;1.36;1.28
Eastern_Europe;15;2.16;2.17;1.83;1.46;1.35;1.59
Northern_Europe;16;1.04;0.79;0.62;0.5;0.52;0.5
Southern_Europe;17;1.33;1.05;0.87;0.63;0.57;0.64
Western_Europe;18;0.8;0.7;0.66;0.53;0.48;0.49
Australia_NewZealand;19;1.49;1.18;1.16;0.63;0.67;0.71
Other_Oceania;20;2.42;2.88;2.7;3.59;1.92;1.97
