      Jour      Heure     Minute       Nobs Moyenne(ppm) 
         1         12         43          6        119 
         1         12         44         20        127 
         1         12         45         20        153 
         1         12         46         20        348 
         1         12         47         20        419 
         1         12         48         20        518 
         1         12         49         20        618 
         1         12         50         20        637 
         1         12         51         20        508 
         1         12         52         20        872 
         1         12         53         20        854 
         1         12         54         20        871 
         1         12         55         19        946 
         1         12         56         20        512 
         1         12         57         20        244 
         1         12         58         20        370 
         1         12         59         20        348 
         1         13          0         20        391 
         1         13          1         20        344 
         1         13          2         20        181 
         1         13          3         20        133 
         1         13          4         20        250 
         1         13          5         20        596 
         1         13          6         20        605 
         1         13          7         20        540 
         1         13          8         20        442 
         1         13          9         20        542 
         1         13         10         20        539 
         1         13         11         20        613 
         1         13         12         20        720 
         1         13         13         19        825 
         1         13         14         20        624 
         1         13         15         20        577 
         1         13         16         20        652 
         1         13         17         20        698 
         1         13         18         20        901 
         1         13         19         20        852 
         1         13         20         20        555 
         1         13         21         20        482 
         1         13         22         20        725 
         1         13         23         20        822 
         1         13         24         20        697 
         1         13         25         20        673 
         1         13         26         20        282 
         1         13         27         20        288 
         1         13         28         20        772 
         1         13         29         20        880 
         1         13         30         20        801 
         1         13         31         20        584 
         1         13         32         20        528 
         1         13         33         20        486 
         1         13         34         20        509 
         1         13         35         20        254 
         1         13         36         20        276 
         1         13         37         20        571 
         1         13         38         20        693 
         1         13         39         20        663 
         1         13         40         20        612 
         1         13         41         20        418 
         1         13         42         20        601 
         1         13         43         20        441 
         1         13         44         20        358 
         1         13         45         20        342 
         1         13         46         20        396 
         1         13         47         20        306 
         1         13         48         20        352 
         1         13         49         20        379 
         1         13         50         20        565 
         1         13         51         20        535 
         1         13         52         20        468 
         1         13         53         20        474 
         1         13         54         20        359 
         1         13         55         20        261 
         1         13         56         20        220 
         1         13         57         20        332 
         1         13         58         20        474 
         1         13         59         20        531 
         1         14          0         20        534 
         1         14          1         20        655 
         1         14          2         20        582 
         1         14          3         20        615 
         1         14          4         20        628 
         1         14          5         20        314 
         1         14          6         20        181 
         1         14          7         20        181 
         1         14          8         20        463 
         1         14          9         20        548 
         1         14         10         20        687 
         1         14         11         20        846 
         1         14         12         20        745 
         1         14         13         20        597 
         1         14         14         20        521 
         1         14         15         20        762 
         1         14         16         20        767 
         1         14         17         20        773 
         1         14         18         20        680 
         1         14         19         20        328 
         1         14         20         20        193 
         1         14         21         20        166 
         1         14         22         20        171 
         1         14         23         20        163 
         1         14         24         20        154 
         1         14         25         20        185 
         1         14         26         20        578 
         1         14         27         20        458 
         1         14         28         20        506 
         1         14         29         20        360 
         1         14         30         20        390 
         1         14         31         20        433 
         1         14         32         20        226 
         1         14         33         20        257 
         1         14         34         20        377 
         1         14         35         20        398 
         1         14         36         20        448 
         1         14         37         20        512 
         1         14         38         20        293 
         1         14         39         20        585 
         1         14         40         20        570 
         1         14         41         20        442 
         1         14         42         20        610 
         1         14         43         20        648 
         1         14         44         20        445 
         1         14         45         20        220 
         1         14         46         20        447 
         1         14         47         20        553 
         1         14         48         20        677 
         1         14         49         20        516 
         1         14         50         20        307 
         1         14         51         20        243 
         1         14         52         20        172 
         1         14         53         19        165 
         1         14         54         20        172 
         1         14         55         20        481 
         1         14         56         20        658 
         1         14         57         20        693 
         1         14         58         20        806 
         1         14         59         20       1174 
         1         15          0         20       1053 
         1         15          1         20        525 
         1         15          2         20        472 
         1         15          3         20        482 
         1         15          4         20        420 
         1         15          5         20        717 
         1         15          6         20        672 
         1         15          7         20        335 
         1         15          8         20        245 
         1         15          9         20        237 
         1         15         10         20        320 
         1         15         11         20        401 
         1         15         12         20        451 
         1         15         13         20        286 
         1         15         14         20        306 
         1         15         15         20        402 
         1         15         16         20        237 
         1         15         17         20        837 
         1         15         18         20        738 
         1         15         19         20        682 
         1         15         20         20        408 
         1         15         21         20        238 
         1         15         22         20        198 
         1         15         23         20        221 
         1         15         24         20        420 
         1         15         25         20        539 
         1         15         26         20        410 
         1         15         27         20        237 
         1         15         28         20        422 
         1         15         29         20        714 
         1         15         30         20        926 
         1         15         31         20        861 
         1         15         32         20        834 
         1         15         33         20        684 
         1         15         34         20        444 
         1         15         35         20        605 
         1         15         36         20        757 
         1         15         37         20        732 
         1         15         38         20        630 
         1         15         39         20        629 
         1         15         40         20        578 
         1         15         41         20        402 
         1         15         42         20        305 
         1         15         43         20        239 
         1         15         44         20        420 
         1         15         45         19        621 
         1         15         46         20        704 
         1         15         47         20        663 
         1         15         48         20        668 
         1         15         49         20        470 
         1         15         50         20        234 
         1         15         51         20        201 
         1         15         52         20        606 
         1         15         53         20        959 
         1         15         54         20        826 
         1         15         55         20        712 
         1         15         56         20        618 
         1         15         57         20        501 
         1         15         58         20        340 
         1         15         59         20        627 
         1         16          0         20        535 
         1         16          1         20        374 
         1         16          2         20        363 
         1         16          3         20        452 
         1         16          4         20        580 
         1         16          5         20        718 
         1         16          6         20        742 
         1         16          7         20        722 
         1         16          8         20        535 
         1         16          9         20        485 
         1         16         10         20        552 
         1         16         11         20        432 
         1         16         12         20        499 
         1         16         13         20        306 
         1         16         14         20        500 
         1         16         15         20        624 
         1         16         16         20        297 
         1         16         17         20        190 
         1         16         18         20        162 
         1         16         19         20        165 
         1         16         20         20        218 
         1         16         21         20        382 
         1         16         22         20        511 
         1         16         23         20        524 
         1         16         24         20        481 
         1         16         25         20        455 
         1         16         26         20        843 
         1         16         27         19        514 
         1         16         28         20        439 
         1         16         29         20        359 
         1         16         30         20        392 
         1         16         31         20        332 
         1         16         32         20        460 
         1         16         33         19        465 
         1         16         34         20        260 
         1         16         35         20        264 
         1         16         36         20        387 
         1         16         37         20        611 
         1         16         38         20        268 
         1         16         39         20        163 
         1         16         40         20        147 
         1         16         41         20        141 
         1         16         42         20        138 
         1         16         43         19        159 
         1         16         44         20        149 
         1         16         45         20        145 
         1         16         46         20        456 
         1         16         47         20        698 
         1         16         48         20        577 
         1         16         49         20        535 
         1         16         50         20        482 
         1         16         51         20        596 
         1         16         52         20        396 
         1         16         53         20        811 
         1         16         54         20        661 
         1         16         55         20        551 
         1         16         56         20        519 
         1         16         57         20        626 
         1         16         58         20        380 
         1         16         59         20        302 
         1         17          0         19        406 
         1         17          1         20        310 
         1         17          2         20        186 
         1         17          3         20        159 
         1         17          4         20        169 
         1         17          5         20        214 
         1         17          6         20        156 
         1         17          7         20        144 
         1         17          8         20        145 
         1         17          9         20        141 
         1         17         10         20        141 
         1         17         11         20        141 
         1         17         12         20        142 
         1         17         13         20        141 
         1         17         14         20        142 
         1         17         15         20        141 
         1         17         16         20        536 
         1         17         17         20        671 
         1         17         18         20        629 
         1         17         19         20        587 
         1         17         20         20        230 
         1         17         21         20        165 
         1         17         22         20        195 
         1         17         23         20        256 
         1         17         24         20        847 
         1         17         25         20       1037 
         1         17         26         20        866 
         1         17         27         20        651 
         1         17         28         20        420 
         1         17         29         20        220 
         1         17         30         20        165 
         1         17         31         20        255 
         1         17         32         20        304 
         1         17         33         20        351 
         1         17         34         20        342 
         1         17         35         20        341 
         1         17         36         20        371 
         1         17         37         20        340 
         1         17         38         20        203 
         1         17         39         20        169 
         1         17         40         20        153 
         1         17         41         20        219 
         1         17         42         20        163 
         1         17         43         20        154 
         1         17         44         20        141 
         1         17         45         20        169 
         1         17         46         20        299 
         1         17         47         20        295 
         1         17         48         20        329 
         1         17         49         20        328 
         1         17         50         20        251 
         1         17         51         20        367 
         1         17         52         20        437 
         1         17         53         20        704 
         1         17         54         20        636 
         1         17         55         20        662 
         1         17         56         20        547 
         1         17         57         20        708 
         1         17         58         20        526 
         1         17         59         20        724 
         1         18          0         20        429 
         1         18          1         20        207 
         1         18          2         20        168 
         1         18          3         20        166 
         1         18          4         20        387 
         1         18          5         20        264 
         1         18          6         20        241 
         1         18          7         20        299 
         1         18          8         20        306 
         1         18          9         20        268 
         1         18         10         20        315 
         1         18         11         20        325 
         1         18         12         20        244 
         1         18         13         20        338 
         1         18         14         20        312 
         1         18         15         20        543 
         1         18         16         20        528 
         1         18         17         20        453 
         1         18         18         20        384 
         1         18         19         20        918 
         1         18         20         20       1430 
         1         18         21         20       1585 
         1         18         22         20       1408 
         1         18         23         20        875 
         1         18         24         20        607 
         1         18         25         20        495 
         1         18         26         20       1161 
         1         18         27         20        888 
         1         18         28         20        458 
         1         18         29         20        236 
         1         18         30         20        168 
         1         18         31         20        160 
         1         18         32         20        167 
         1         18         33         20        457 
         1         18         34         20        560 
         1         18         35         20        675 
         1         18         36         20        362 
         1         18         37         20        174 
         1         18         38         20        146 
         1         18         39         20        142 
         1         18         40         20        205 
         1         18         41         20        750 
         1         18         42         20        545 
         1         18         43         20        815 
         1         18         44         20        542 
         1         18         45         20        253 
         1         18         46         20        169 
         1         18         47         20        169 
         1         18         48         20        361 
         1         18         49         20        395 
         1         18         50         20        588 
         1         18         51         20        593 
         1         18         52         20        303 
         1         18         53         20        184 
